Salafsky et al. 2008  Table 1,,Examples,Threats,Stress relationships
1. Residential and commercial development: human settlements or other nonagricultural land uses with a substantial footprint,"1.1. housing and urban areas: human cities, towns, and settlements including non-housing development typically integrated with housing","urban areas, suburbs, villages, vacation homes, shopping areas, offices, schools, hospitals",,
,1.2 commercial and industrial areas:  factories and other commercial centers,"manufacturing plants, shopping centers, office parks, military bases, power plants, train and ship yards, airports",,
,1.3 tourism and recreation areas:  tourism and recreation sites with a substantial footprint,"ski areas, golf courses, beach resorts, cricket fields, county parks, campgrounds",,
"2. Agriculture and aquaculture threats from farming and ranching as a result of agricultural expansion and intensification, including silviculture, mariculture, and aquaculture","2.1 annual and perennial non-timber crops: crops planted for food, fodder, fiber, fuel, or other uses","farms, household swidden plots, plantations, orchards, vineyards, mixed agroforestry systems",,
,"2.2 wood and pulp plantations: stands of trees planted for timber or fiber outside of natural forests, often with non-native species","teak or eucalyptus plantations, silviculture, Christmas tree farms",See 5.3.1. Logging and Wood Harvesting.,
,2.3 livestock farming and ranching: domestic terrestrial animals raised in one location on farmed or non-local resources (farming); also domestic or semi-domesticated animals allowed to roam in the wild and supported by natural habitats (ranching),"cattle feed lots, dairy farms, cattle ranching, chicken farms, goat, camel, or yak herding",,
,2.4 marine and freshwater aquaculture: aquatic animals raised in one location on farmed or nonlocal resources; also hatchery fish allowed to roam in the wild,"shrimp or fin fish aquaculture, fish ponds on farms, hatchery salmon, seeded shellfish beds, artificial algal beds",2.4.1. Aquaculture Facilities in the Marine System (E),"Disease, Genetic Contamination, Loss of Shelter and Breeding Sites, Predation"
,,,2.4.2. Hatchery Facilities (E),Genetic Contamination
3. Energy production and mining threats from production of non-biological resources,"3.1 oil and gas drilling: exploring for, developing, and producing petroleum and other liquid hydrocarbons","oil wells, deep sea natural gas drilling",,
,"3.2 mining and quarrying: exploring for, developing, and producing minerals and rocks","coal mines, alluvial gold panning, gold mines, rock quarries, coral mining, deep sea nodules, guano harvesting",,
,"3.3 renewable energy: exploring, developing, and producing renewable energy","geothermal power production, solar farms, wind farms (including birds flying into windmills), tidal farms",,
"4. Transportation and service corridors threats from long, narrow transport corridors and the vehicles that use them including associated wildlife mortality",4.1 roads and railroads: surface transport on roadways and dedicated tracks,"highways, secondary roads, logging roads, bridges and causeways, road kill, fencing associated with roads, railroads","4.1.1. Paved roads. Stream crossing, bridges or cluverts are installed. (A)","Habitat degredation, Habitat Loss"
,,,"4.1.2. Unpaved Roads.  Where unpaved and logging road cross streams, culverts or stream crossings (can be temporary) are installed. (A)","Habitat degredation, Habitat Loss"
,,,4.1.3. Railroads.  Railroad crossing on rivers and streams (A),"Habitat degredation, Habitat Loss"
,4.2 utility and service lines: transport of energy and resources,"electrical and phone wires, aqueducts, oil and gas pipelines, electrocution of wildlife",4.2.1. Utility Lines and Corridors: Utility corridors and lines including transmission and power lines and poles. (A),"Habitat degredation, Habitat Loss"
,,,4.2.2. Oil & Gas Pipelines:,"Habitat degredation, Habitat Loss"
,4.3 shipping lanes: transport on and in freshwater and ocean waterways,"dredging, canals, shipping lanes, ships running into whales, wakes from cargo ships",,
,4.4 flight paths: air and space transport,"flight paths, jets impacting birds",,
5. Biological resource use threats from consumptive use of “wild” biological resources including deliberate and unintentional harvesting effects; also persecution or control of specific species,"5.1 hunting and collecting terrestrial animals: killing or trapping terrestrial wild animals or animal products for commercial, recreation, subsistence, research or cultural purposes, or for control/persecution reasons; includes accidental mortality/by-catch","bushmeat hunting, trophy hunting, fur trapping, insect collecting, honey or bird nest hunting, predator control, pest control, persecution",,
,"5.2 gathering terrestrial plants: harvesting plants, fungi, and other non-timber/non-animal products for commercial, recreation, subsistence, research or cultural purposes, or for control reasons","wild mushrooms, forage for stall fed animals, orchids, rattan, control of host plants to combat timber diseases",,
,"5.3 logging and wood harvesting: harvesting trees and other woody vegetation for timber, fiber, or fuel","clear cutting of hardwoods, selective commercial logging of ironwood, pulp operations, fuel wood collection, charcoal production",5.3.1. Logging and wood harvest. (A),"Habitat degredation, Nutritional compromise, (includes Increased stream temperature, Increased runoff, Decreased water retention )"
,"5.4 fishing and harvesting aquatic resources: harvesting aquatic wild animals or plants for commercial, recreation, subsistence, research, or cultural purposes, or for control/persecution reasons; includes accidental mortality/by-catch","trawling, blast fishing, spear fishing, shellfish harvesting, whaling, seal hunting, turtle egg collection, live coral collection, seaweed collection",5.4.1.  Marine commercial fishing directed at ATS in the Atlantic Ocean,Collection
,,,5.4.2 Marine Bycatch.  Legal directed fishing for other species that catches ATS as bycatch.  (B),Collection
,,,5.4.3 Poaching in freshwater or marine system. (C ),Deliberate Killing
,,,5.4.4. Incidental capture of ATS while freshwater fishing. (C ),"Collection, Accidental Killing"
"6. Human intrusions and disturbance threats from human activities that alter, destroy and disturb habitats and species associated with non-consumptive uses of biological resources","6.1 recreational activities: people spending time in nature or traveling in vehicles outside of established transport corridors, usually for recreational reasons","off-road vehicles, motorboats, jet-skis, snowmobiles, ultralight planes, dive boats, whale watching, mountain bikes, hikers, birdwatchers, skiers, pets in rec areas, temporary campsites, caving, rock-climbing",,
,"6.2 war, civil unrest and military exercises: actions by formal or paramilitary forces without a permanent footprint","armed conflict, mine fields, tanks and other military vehicles, training exercises and ranges, defoliation, munitions testing",,
,6.3 work and other activities: people spending time in or traveling in natural environments for reasons other than recreation or military activities,"law enforcement, drug smugglers, illegal immigrants, species research, vandalism","See 5.4.1, 5.4.2, 5.4.3: Fishing",
"7. Natural system modifications threats from actions that convert or degrade habitat in service of ""managing"" natural or semi-natural systems, often to improve human welfare",7.1 fire and fire suppression: suppression or increase in fire frequency and/or intensity outside of its natural range of variation,"fire suppression to protect homes, inappropriate fire management, escaped agricultural fires, arson, campfires, fires for hunting",,
,7.2 dams and water management/use:  changing water flow patterns from their natural range of variation either deliberately or as a result of other activities,"dam construction, dam operations, sediment control, change in salt regime, wetland filling for mosquito control, levees and dikes, surface water diversion, groundwater pumping, channelization, artificial lakes",7.2.1. Dam operation. Use of turbines for power generation. (A),"Migration barrier, Accidental Killing"
,,,7.2.2. Dam presence produces artificial reservoir.  (A),"Habitat Loss, Habitat Degredation, Predation, Migration Barrier"
,,,7.2.3. Dam presence produces impassable barriers or have inefficient fish ladders. (A),"Migration barrier, Nutritional compromise"
,,,"7.2.4. Water management/use. Withdrawal of water by municipalities, pulp mills, factories. (A)","Habitat Loss, Habitat Degredation, Stress of Carrying Capacity"
,7.3 other ecosystem modifications: other actions that convert or degrade habitat in service of “managing” natural systems to improve human welfare,"land reclamation projects, abandonment of managed lands, rip-rap along shoreline, mowing grass, tree thinning in parks, beach  construction, removal of snags from streams",,
"8. Invasive and other problematic species and genes threats from non-native and native plants, animals, pathogens/microbes, or genetic materials that have or are predicted to have harmful effects on biodiversity following their introduction, spread and/or increase in abundance","8.1 invasive non-native/alien species: harmful plants, animals, pathogens and other microbes not originally found within the  ecosystem(s) in question and directly or indirectly introduced and spread into it by human activities","feral cattle, household pets, zebra mussels, Dutch elm disease or chestnut blight, Miconia tree, introduction of species for  biocontrol, Chytrid fungus affecting amphibians outside of Africa","8.1.1. Non-native species: Fish species not native to the ecosystem;  smallmouth bass, largemouth bass, brown trout, splake and rainbow trout (A,C)","Predation, Altered behavior, Loss of shelter & breeding sites, Competition"
,"8.2 problematic native species: harmful plants, animals, or pathogens and other microbes that are originally found within the ecosystem(s) in question, but have become “out of balance” or  released” directly or indirectly due to human activities","overabundant native deer, overabundant algae due to loss of native grazing fish, native plants that hybridize with other plants, plague affecting rodents",8.2.1. Disease (B1),Disease
,,,"8.2.2: Native and stocked native species: Brook trout, american eel, chain pickerel, landlocked salmon, striped bass. (A,C)","Predation, Competition, Loss of shelter & breeding sites"
,8.3 introduced genetic material:   Human-altered or transported organisms or genes,"pesticide resistant crops, hatchery salmon, restoration projects using nonlocal seed stock, genetically modified insects for biocontrol, genetically modified trees, genetically modified salmon",8.3.1. Unauthorized release or escape of aquaculture fish. (E),Genetic Contamination
9. Pollution threats from introduction of exotic and/or excess materials or energy from point and nonpoint sources,"9.1 household sewage and urban waste water -borne sewage and nonpoint runoff from housing and urban areas that include nutrients, toxic chemicals and/or sediments","discharge from municipal waste treatment plants, leaking septic systems, untreated sewage, outhouses, oil or sediment from roads, fertilizers and pesticides from lawns and golf-courses, road salt",9.1.1 Pesticide and herbicide use on crops near streams. Application of chemicals near streams (A),"Toxicosis, Habitat degredation, "
,"9.2 industrial and military effluents water-borne pollutants from industrial and military sources including mining, energy production, and other resource extraction industries that include nutrients, toxic chemicals and/or sediments","toxic chemicals from factories, illegal dumping of chemicals, mine tailings, arsenic from gold mining, leakage from fuel tanks, PCBs in river sediments",,
,"9.3 agricultural and forestry effluents: water-borne pollutants from agricultural, silvicultural, and aquaculture systems that include nutrients, toxic chemicals and/or sediments including the effects of these pollutants on the site where they are applied","nutrient loading from fertilizer runoff, herbicide runoff, manure from feedlots, nutrients from aquaculture, soil erosion",9.3.1 Non-point discharge from agriculture and forestry practices. (A),"Habitat degredation, Toxicosis, Nutritional Compromise"
,9.4 garbage and solid waste: rubbish and other solid materials including those that entangle wildlife,"municipal waste, litter from cars, flotsam and jetsam from recreational boats, waste that entangles wildlife, construction debris",,
,9.5 air-borne pollutants: atmospheric pollutants from point and non-point sources,"acid rain, smog from vehicle emissions, excess nitrogen deposition, radioactive fallout, wind dispersion of pollutants or sediments, smoke from forest fires or wood stoves",,
,"9.6 excess energy: inputs of heat, sound, or light that disturb wildlife or ecosystems","noise from highways or airplanes, sonar from submarines that disturbs whales, heated water from power plants, lamps attracting insects, beach lights disorienting turtles, atmospheric radiation from ozone holes",,
10. Geological events threats from catastrophic geological events,10.1 volcanoes: volcanic events,"eruptions, emissions of volcanic gasses",,
,10.2 earthquakes/tsunamis: earthquakes and associated events,"earthquakes, tsunamis",,
,10.3 avalanches/landslides: avalanches or landslides,"avalanches, landslides, mudslides",,
11. Climate change and severe weather long-term climatic changes that may be linked to global warming and other severe climatic or weather events outside the natural range of variation that could wipe out a vulnerable species or habitat,11.1 habitat shifting and alteration major changes in habitat composition and location,"sea-level rise, desertification, tundra thawing, coral bleaching",See 11.4.1,
,11.2 droughts: periods in which rainfall falls below the normal range of variation,"severe lack of rain, loss of surface water sources","11.2.1. Drought.  Periods in which rainfall falls below the normal range of variation, which can result in low river flows. (E): Droughts that lead to low river flows; a) increase water temps, b) reduced water levels reduces habitat availability.",
,11.3 temperature extremes: periods in which temperatures exceed or go below the normal range of variation,"heat waves, cold spells, oceanic temperature changes, disappearance of glaciers/sea ice",11.3.1. Oceanic temperature changes and changes to oceanic current. (E): a) decreased marine survival,
,11.4 storms and flooding: extreme precipitation and/or wind events or major shifts in seasonality of storms,"thunderstorms, tropical storms, hurricanes, cyclones, tornados, hailstorms, ice storms or blizzards, dust storms, erosion of beaches during storms","11.4.1. Storms and Flooding: Extreme precipitation or major shifts in seasonality of storms. (E): a) spring run-off occurs earlier in the sesason, b) increased spring precipitation, c) decreased river ice.  Some of these may help.",
"aThe classification is composed of 3 levels of direct threats, analogous to families, genera, and species in the Linnaean system. The first level is denoted by whole numbers and bold text (e.g., 1. Residential and commercial development). The second level is denoted by decimal numbers and roman text (e.g., 1.2 commercial and industrial areas). The third level is denoted by italic text (e.g., manufacturing plants). The classifications are designed to be comprehensive, consistent, and exclusive for the first and second levels. The third level, by contrast, currently contains only some illustrative examples rather than comprehensive listings of threats at this level.",,,,
USFWS Five Factors,,,,
"A.  The Present or Threatened Destruction, Modification, or Curtailment of its Habitat or Range",,,,
"B.  Overutilization for Commercial, Recreational, Scientific, or Educational Purposes",,,,
C.  Disease or Predation,,,,
E.  Other Natural or Manmade Factors Affecting its Continued Existence,,,,
D.  Inadequacy of Existing Regulatory Mechanisms,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
